,game_name,song_name,is_4/4,time_signature_count,valid_tracks,unique_valid_tracks
406,Brutal  Paws of Fury,BrutalScene1.mid,True,0,2,2
407,Brutal  Paws of Fury,BrutalScene2.mid,True,0,2,2
408,Brutal  Paws of Fury,BrutalScene3.mid,True,0,2,2
409,Brutal  Paws of Fury,BrutalTitle.mid,True,0,2,2
410,Bubsy the Bobcat,bubw11.mid,True,1,7,3
411,Bubsy the Bobcat,bubcont.mid,True,1,3,2
412,Bubsy the Bobcat,bubw5th.mid,True,1,7,3
413,Bubsy the Bobcat,bubfarew.mid,True,1,5,2
414,Bubsy the Bobcat,bubgameo.mid,True,1,5,4
415,Bubsy the Bobcat,bubinv.mid,True,1,9,3
416,Bubsy the Bobcat,bubshad.mid,True,1,3,2
417,Bubsy the Bobcat,bubtitle.mid,True,1,6,3
418,Bubsy the Bobcat,BUBSLREM.mid,True,1,5,2
419,Bubsy the Bobcat,bubh2osl.mid,True,1,4,4
420,Bubsy the Bobcat,bubwin.mid,True,1,4,2
421,Bubsy the Bobcat,bubw1bs.mid,True,1,3,2
422,Bust-a-Move,PBobble.mid,True,1,3,3
423,Bust-a-Move,PuzzleBobbleTheme.mid,True,1,0,0
424,Bust-a-Move,bust_vs.mid,True,1,1,1
425,Captain America and the Avengers,capt_1.mid,True,0,4,3
426,Captain America and the Avengers,capt_2.mid,True,0,4,3
427,Captain America and the Avengers,capt_3.mid,True,0,4,3
428,Captain America and the Avengers,capt_4.mid,True,0,3,3
429,Captain Tsubasa III (Japan),T_Tsubasa3Snes8.mid,True,1,2,2
430,Captain Tsubasa III (Japan),T_TsubasaIII_TaroHyugaTheme_ReMix12.mid,True,1,4,3
431,Captain Tsubasa III (Japan),T_Tsubasa3Snes7.mid,True,1,4,3
432,Carrier Aces,carrieraces.mid,True,0,3,3
433,Castlevania Dracula X,cv5stg6.mid,False,2,6,2
434,Castlevania Dracula X,dxstage1.mid,False,3,9,4
435,Castlevania Dracula X,Dxrb-st1.mid,True,1,9,5
436,Castlevania Dracula X,DX-_Richter%27s_Theme.mid,True,1,10,3
437,Castlevania Dracula X,CDX-Level_1.mid,True,1,9,5
438,Castlevania Dracula X,cv5stg1.mid,True,1,3,2
439,Castlevania Dracula X,castlevania_v_dracula_x_-_stage_1_bloodlines.mid,True,0,8,5
440,Castlevania Dracula X,Castlevania_-_Dracula_X_-_Theme_of_Richter.mid,True,0,6,3
441,Castlevania Dracula X,CVDX_-_Bloodlines.mid,True,1,10,3
